id_team,division,lat_arena,lon_arena
BOS,Atlantic,42.366303,-71.062228
BKN,Atlantic,40.68265,-73.974689
NYK,Atlantic,40.750556,-73.993611
PHI,Atlantic,39.901111,-75.171944
TOR,Atlantic,43.643333,-79.37916700000001
CHI,Central,41.880556,-87.67416700000001
CLE,Central,41.496389,-81.688056
DET,Central,42.696944,-83.24555600000001
IND,Central,39.763889,-86.155556
MIL,Central,43.043611,-87.916944
ATL,Southeast,33.757222,-84.396389
CHA,Southeast,35.225,-80.839167
MIA,Southeast,25.781389,-80.188056
ORL,Southeast,28.539167,-81.383611
WAS,Southeast,38.898056,-77.020833
DEN,Northwest,39.748611,-105.0075
MIN,Northwest,44.979444,-93.276111
OKC,Northwest,35.463333,-97.515
POR,Northwest,45.531667,-122.66666699999999
UTA,Northwest,40.768333,-111.90111100000001
GSW,Pacific,37.750278,-122.203056
LAC,Pacific,34.043056,-118.267222
LAL,Pacific,34.043056,-118.267222
PHX,Pacific,33.445833,-112.071389
SAC,Pacific,38.649167,-121.518056
DAL,Southwest,32.790556,-96.810278
HOU,Southwest,29.750833,-95.362222
MEM,Southwest,35.138333,-90.050556
NOP,Southwest,29.948889,-90.081944
SAS,Southwest,29.426944,-98.4375
NJN,Atlantic,40.811667,-74.0675
NOH,Southwest,29.948889,-90.081944
SEA,Pacific,47.62212,-122.3541
VAN,Southwest,49.277778000000005,-123.10888899999999
